query,category
I am still waiting on my card?,delivery_tracking
What can I do if my card still hasn't arrived after 2 weeks?,delivery_tracking
I have been waiting over a week. Is the card still coming?,delivery_tracking
Can I track my card while it is in the process of delivery?,delivery_tracking
"How do I know if I will get my card, or if it is lost?",delivery_tracking
When did you send me my new card?,delivery_tracking
Do you have info about the card on delivery?,delivery_tracking
What do I do if I still have not received my new card?,delivery_tracking
Does the package with my card have tracking?,delivery_tracking
I ordered my card but it still isn't here,delivery_tracking
Why has my new card still not come?,delivery_tracking
"I still haven't received my card after two weeks, is it lost?",delivery_tracking
Can you track my card for me?,delivery_tracking
Is there a way to track the delivery of my card?,delivery_tracking
It's been a week since I ordered my card and it's not here. Please help?,delivery_tracking
Will I be able to track the card that was sent to me?,delivery_tracking
I don't have my card in 1 week.  Should I be worried?,delivery_tracking
How do I know when my new card is going to arrive?,delivery_tracking
My new card has not been delivered to my home yet. What is going on?,delivery_tracking
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,delivery_tracking
"On the card that is coming, what's the tracking info?",delivery_tracking
What is the status of my card's delivery?,delivery_tracking
Have you sent out my card yet?,delivery_tracking
My card isn't here yet.,delivery_tracking
where is my new card?,delivery_tracking
It's been a week since you sent my card and I still don't have it.,delivery_tracking
How do I track the card you sent me?,delivery_tracking
When will I recieve my new card?,delivery_tracking
When will I get my new card?,delivery_tracking
What is the expected delivery date for my card?,delivery_tracking
Is there a tracking number for the card you sent me?,delivery_tracking
I would like to track the card you sent to me.,delivery_tracking
Has my card been lost in delivery?,delivery_tracking
My new card hasn't came in.,delivery_tracking
Where is the card I ordered 2 weeks ago?,delivery_tracking
Can I get an update on my replacement card?,delivery_tracking
How long does it take for a new card to ship?,delivery_tracking
What's the tracking on the card you sent?,delivery_tracking
I haven't received my card and am worried it is lost.,delivery_tracking
My card still hasn't been delivered,delivery_tracking
I need to find out where the card is that I ordered.,delivery_tracking
Where is my credit card that was to be mailed?,delivery_tracking
I ordered my card but it hasn't been delivered yet,delivery_tracking
Am I able to track the card that was just sent to me?,delivery_tracking
Can you tell me why I haven't received my new card?,delivery_tracking
I'm still waiting for my new card.,delivery_tracking
Is my card lost? I am still waiting for it to be delivered.,delivery_tracking
Should I keep waiting for my card to be delivered?,delivery_tracking
Can I track when my card will be delivered?,delivery_tracking
How can I check on the status of my new card?,delivery_tracking
"A card has been sent to me, how do I track it?",delivery_tracking
Is there a way I can get my card expedited?,delivery_tracking
What can I do to track the card you sent me?,delivery_tracking
why hasnt my card come in yet?,delivery_tracking
How can I periodically check the delivery of the card you sent?,delivery_tracking
What's the reason my new card hasn't come?,delivery_tracking
How long does it take for me to get my new card?,delivery_tracking
I don't have my card after 1 week. What are my next steps?,delivery_tracking
I know I'm getting a new card but would like know when I can expect to receive it.,delivery_tracking
I want to find out what happened to my new card?,delivery_tracking
Was there a way for me to get tracking for that?,delivery_tracking
I am still waiting for my card.,delivery_tracking
My card hasn't arrived.,delivery_tracking
Can I track the card you sent to me?,delivery_tracking
I haven't gotten my new card.,delivery_tracking
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,delivery_tracking
Will I have to wait much longer for my new card to arrive?,delivery_tracking
how to track the card you sent,delivery_tracking
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,delivery_tracking
How can I check on the delivery status of my card?,delivery_tracking
"My card has not been delivered yet and its been a week since I ordered it, please help",delivery_tracking
What's the expected wait time to recieve my new card?,delivery_tracking
How can I see the progress of delivery of the card that was sent?,delivery_tracking
"My card was supposed to arrive, but hasn't?",delivery_tracking
I ordered a card and would like to know how to track the delivery progress of it.,delivery_tracking
How long will it take for me to get my card?,delivery_tracking
My card hasn't shown up yet.,delivery_tracking
Does the card you sent have a tracking number?,delivery_tracking
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,delivery_tracking
maximum how many days get the courier?,delivery_tracking
Is there a reason my new card hasn't arrived yet?,delivery_tracking
"I've been waiting a while for my card, is there a way to know when it will arrive?",delivery_tracking
How can I track my card's delivery?,delivery_tracking
Can I track the card that was just sent to me?,delivery_tracking
"If I ordered my new card last week, how much longer should I wait to receive it?",delivery_tracking
"What's go on, where is my new card?",delivery_tracking
Where is my new card if I haven't received it yet?,delivery_tracking
Where is my card?,delivery_tracking
Can you tell me why I haven't received my new card yet?,delivery_tracking
Is there a way to track my card?,delivery_tracking
Is there a way to track the new card you sent me?,delivery_tracking
I'm still waiting for my card.,delivery_tracking
What do I need to do to get my new card which I have requested 2 weeks ago?,delivery_tracking
WHAT IS THE SOLUTION OF THIS PROBLEM,delivery_tracking
Could I get tracking on the card?,delivery_tracking
Can you help me track my card?,delivery_tracking
Shouldn't my new card be here by now?,delivery_tracking
